timestamp,line,status
2024-03-14 13:20:09.318825,M1,Alt kører efter planen
2024-03-14 13:20:09.318825,M2,Alt kører efter planen
2024-03-14 13:20:09.318825,M3,Alt kører efter planen
2024-03-14 13:20:09.318825,M4,Alt kører efter planen
2024-03-14 13:10:12.003594,M1,Alt kører efter planen
2024-03-14 13:10:12.003594,M2,Alt kører efter planen
2024-03-14 13:10:12.003594,M3,Alt kører efter planen
2024-03-14 13:10:12.003594,M4,Alt kører efter planen
2024-03-14 13:00:09.661511,M1,Alt kører efter planen
2024-03-14 13:00:09.661511,M2,Alt kører efter planen
2024-03-14 13:00:09.661511,M3,Alt kører efter planen
2024-03-14 13:00:09.661511,M4,Alt kører efter planen
2024-03-14 12:50:32.413623,M1,Alt kører efter planen
2024-03-14 12:50:32.413623,M2,Alt kører efter planen
2024-03-14 12:50:32.413623,M3,Alt kører efter planen
2024-03-14 12:50:32.413623,M4,Alt kører efter planen
2024-03-14 12:40:06.010165,M1,Alt kører efter planen
2024-03-14 12:40:06.010165,M2,Alt kører efter planen
2024-03-14 12:40:06.010165,M3,Alt kører efter planen
2024-03-14 12:40:06.010165,M4,Alt kører efter planen
2024-03-14 12:30:13.169509,M1,Alt kører efter planen
2024-03-14 12:30:13.169509,M2,Alt kører efter planen
2024-03-14 12:30:13.169509,M3,Alt kører efter planen
2024-03-14 12:30:13.169509,M4,Alt kører efter planen
2024-03-14 12:20:10.264511,M1,Alt kører efter planen
2024-03-14 12:20:10.264511,M2,Alt kører efter planen
2024-03-14 12:20:10.264511,M3,Alt kører efter planen
2024-03-14 12:20:10.264511,M4,Alt kører efter planen
2024-03-14 12:10:15.437709,M1,Alt kører efter planen
2024-03-14 12:10:15.437709,M2,Alt kører efter planen
2024-03-14 12:10:15.437709,M3,Alt kører efter planen
2024-03-14 12:10:15.437709,M4,Alt kører efter planen
2024-03-14 12:00:18.741535,M1,Alt kører efter planen
2024-03-14 12:00:18.741535,M2,Alt kører efter planen
2024-03-14 12:00:18.741535,M3,Alt kører efter planen
2024-03-14 12:00:18.741535,M4,Alt kører efter planen
2024-03-14 11:50:11.768399,M1,Alt kører efter planen
2024-03-14 11:50:11.768399,M2,Alt kører efter planen
2024-03-14 11:50:11.768399,M3,Alt kører efter planen
2024-03-14 11:50:11.768399,M4,Alt kører efter planen
2024-03-14 11:40:13.383794,M1,Alt kører efter planen
2024-03-14 11:40:13.383794,M2,Alt kører efter planen
2024-03-14 11:40:13.383794,M3,Alt kører efter planen
2024-03-14 11:40:13.383794,M4,Alt kører efter planen
2024-03-14 11:30:17.967925,M1,Alt kører efter planen
2024-03-14 11:30:17.967925,M2,Alt kører efter planen
2024-03-14 11:30:17.967925,M3,Alt kører efter planen
2024-03-14 11:30:17.967925,M4,Alt kører efter planen
2024-03-14 11:20:12.519562,M1,Alt kører efter planen
2024-03-14 11:20:12.519562,M2,Alt kører efter planen
2024-03-14 11:20:12.519562,M3,Alt kører efter planen
2024-03-14 11:20:12.519562,M4,Alt kører efter planen
2024-03-14 11:10:09.895090,M1,Alt kører efter planen
2024-03-14 11:10:09.895090,M2,Alt kører efter planen
2024-03-14 11:10:09.895090,M3,Alt kører efter planen
2024-03-14 11:10:09.895090,M4,Alt kører efter planen
2024-03-14 11:00:14.327102,M1,Alt kører efter planen
2024-03-14 11:00:14.327102,M2,Alt kører efter planen
2024-03-14 11:00:14.327102,M3,Alt kører efter planen
2024-03-14 11:00:14.327102,M4,Alt kører efter planen
2024-03-14 10:50:10.732983,M1,Alt kører efter planen
2024-03-14 10:50:10.732983,M2,Alt kører efter planen
2024-03-14 10:50:10.732983,M3,Alt kører efter planen
2024-03-14 10:50:10.732983,M4,Alt kører efter planen
2024-03-14 10:40:08.719763,M1,Alt kører efter planen
2024-03-14 10:40:08.719763,M2,Alt kører efter planen
2024-03-14 10:40:08.719763,M3,Alt kører efter planen
2024-03-14 10:40:08.719763,M4,Alt kører efter planen
2024-03-14 10:30:10.153603,M1,Alt kører efter planen
2024-03-14 10:30:10.153603,M2,Alt kører efter planen
2024-03-14 10:30:10.153603,M3,Alt kører efter planen
2024-03-14 10:30:10.153603,M4,Alt kører efter planen
2024-03-14 10:20:12.117436,M1,Alt kører efter planen
2024-03-14 10:20:12.117436,M2,Alt kører efter planen
2024-03-14 10:20:12.117436,M3,Alt kører efter planen
2024-03-14 10:20:12.117436,M4,Alt kører efter planen
2024-03-14 10:10:07.211820,M1,Alt kører efter planen
2024-03-14 10:10:07.211820,M2,Alt kører efter planen
2024-03-14 10:10:07.211820,M3,Alt kører efter planen
2024-03-14 10:10:07.211820,M4,Alt kører efter planen
2024-03-14 10:00:09.388842,M1,Alt kører efter planen
2024-03-14 10:00:09.388842,M2,Alt kører efter planen
2024-03-14 10:00:09.388842,M3,Alt kører efter planen
2024-03-14 10:00:09.388842,M4,Alt kører efter planen
2024-03-14 09:50:11.810784,M1,Alt kører efter planen
2024-03-14 09:50:11.810784,M2,Alt kører efter planen
2024-03-14 09:50:11.810784,M3,Alt kører efter planen
2024-03-14 09:50:11.810784,M4,Alt kører efter planen
2024-03-14 09:40:10.124124,M1,Alt kører efter planen
2024-03-14 09:40:10.124124,M2,Alt kører efter planen
2024-03-14 09:40:10.124124,M3,Alt kører efter planen
2024-03-14 09:40:10.124124,M4,Alt kører efter planen
2024-03-14 09:30:19.063587,M1,Alt kører efter planen
2024-03-14 09:30:19.063587,M2,Alt kører efter planen
2024-03-14 09:30:19.063587,M3,Alt kører efter planen
2024-03-14 09:30:19.063587,M4,Alt kører efter planen
2024-03-14 09:20:11.253827,M1,Alt kører efter planen
2024-03-14 09:20:11.253827,M2,Alt kører efter planen
2024-03-14 09:20:11.253827,M3,Alt kører efter planen
2024-03-14 09:20:11.253827,M4,Alt kører efter planen
2024-03-14 09:10:10.906574,M1,Alt kører efter planen
2024-03-14 09:10:10.906574,M2,Alt kører efter planen
2024-03-14 09:10:10.906574,M3,Alt kører efter planen
2024-03-14 09:10:10.906574,M4,Alt kører efter planen
2024-03-14 09:00:12.735631,M1,Alt kører efter planen
2024-03-14 09:00:12.735631,M2,Alt kører efter planen
2024-03-14 09:00:12.735631,M3,Alt kører efter planen
2024-03-14 09:00:12.735631,M4,Alt kører efter planen
2024-03-14 08:50:10.088132,M1,Alt kører efter planen
2024-03-14 08:50:10.088132,M2,Alt kører efter planen
2024-03-14 08:50:10.088132,M3,Alt kører efter planen
2024-03-14 08:50:10.088132,M4,Alt kører efter planen
2024-03-14 08:40:10.575387,M1,Alt kører efter planen
2024-03-14 08:40:10.575387,M2,Alt kører efter planen
2024-03-14 08:40:10.575387,M3,Alt kører efter planen
2024-03-14 08:40:10.575387,M4,Alt kører efter planen
2024-03-14 08:30:06.435278,M1,Alt kører efter planen
2024-03-14 08:30:06.435278,M2,Alt kører efter planen
2024-03-14 08:30:06.435278,M3,Alt kører efter planen
2024-03-14 08:30:06.435278,M4,Alt kører efter planen
2024-03-14 08:20:06.350681,M1,Alt kører efter planen
2024-03-14 08:20:06.350681,M2,Alt kører efter planen
2024-03-14 08:20:06.350681,M3,Alt kører efter planen
2024-03-14 08:20:06.350681,M4,Alt kører efter planen
2024-03-14 08:10:09.183577,M1,Alt kører efter planen
2024-03-14 08:10:09.183577,M2,Alt kører efter planen
2024-03-14 08:10:09.183577,M3,Alt kører efter planen
2024-03-14 08:10:09.183577,M4,Alt kører efter planen
2024-03-14 08:00:12.036444,M1,Alt kører efter planen
2024-03-14 08:00:12.036444,M2,Alt kører efter planen
2024-03-14 08:00:12.036444,M3,Alt kører efter planen
2024-03-14 08:00:12.036444,M4,Alt kører efter planen
2024-03-14 07:50:10.730717,M1,Alt kører efter planen
2024-03-14 07:50:10.730717,M2,Alt kører efter planen
2024-03-14 07:50:10.730717,M3,Alt kører efter planen
2024-03-14 07:50:10.730717,M4,Alt kører efter planen
2024-03-14 07:40:11.150148,M1,Alt kører efter planen
2024-03-14 07:40:11.150148,M2,Alt kører efter planen
2024-03-14 07:40:11.150148,M3,Alt kører efter planen
2024-03-14 07:40:11.150148,M4,Alt kører efter planen
2024-03-14 07:30:11.256716,M1,Alt kører efter planen
2024-03-14 07:30:11.256716,M2,Alt kører efter planen
2024-03-14 07:30:11.256716,M3,Alt kører efter planen
